Modelo,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.8062455642299503,0.6593059936908517,0.5588235294117647,0.6049204052098408,0.8421788214627088
Random Forest,0.7863733144073811,0.6220735785953178,0.49732620320855614,0.5527488855869243,0.8248856854994963
Gradient Boosting,0.7977288857345636,0.6539792387543253,0.5053475935828877,0.5701357466063348,0.84165439561859
Random Forest (tuned),0.7544357700496807,0.5255474452554745,0.7700534759358288,0.6247288503253796,0.841372807357462
